"ID" "State_code" "State" "Municipality" "Latitude" "Longitude" "Year" "Pollutant" "Agency" "Emission_estimate_(Gg)" "Lower_bound_(Gg)" "Upper_bound_(Gg)" "Product" "Industry"
40 "CE" "Ceará" "Pecém" -3.666527 -39 "2017" "NMVOCs" "EPA" 0.0309119748888889 0.0309119748888889 0.0309119748888889 "Portland cement" "Cement"
41 "CE" "Ceará" "Pecém" -3.666527 -39 "2018" "NMVOCs" "EPA" 0.0288499891333333 0.0288499891333333 0.0288499891333333 "Portland cement" "Cement"
42 "CE" "Ceará" "Pecém" -3.666527 -39 "2019" "NMVOCs" "EPA" 0.0288130158 0.0288130158 0.0288130158 "Portland cement" "Cement"
43 "CE" "Ceará" "Pecém" -3.666527 -39 "2020" "NMVOCs" "EPA" 0.0311508475333333 0.0311508475333333 0.0311508475333333 "Portland cement" "Cement"
44 "CE" "Ceará" "Pecém" -3.666527 -39 "2021" "NMVOCs" "EPA" 0.0365849363333333 0.0365849363333333 0.0365849363333333 "Portland cement" "Cement"
45 "CE" "Ceará" "Pecém" -3.666527 -39 "2022" "NMVOCs" "EPA" 0.0194496738444444 0.0194496738444444 0.0194496738444444 "Portland cement" "Cement"
46 "CE" "Ceará" "Pecém" -3.666527 -39 "2014" "SOX" "EPA" 0.0890474328 0.0890474328 0.0890474328 "Portland cement" "Cement"
47 "CE" "Ceará" "Pecém" -3.666527 -39 "2015" "SOX" "EPA" 0.0936269028 0.0936269028 0.0936269028 "Portland cement" "Cement"
48 "CE" "Ceará" "Pecém" -3.666527 -39 "2016" "SOX" "EPA" 0.0889826616 0.0889826616 0.0889826616 "Portland cement" "Cement"
49 "CE" "Ceará" "Pecém" -3.666527 -39 "2017" "SOX" "EPA" 0.084876948 0.084876948 0.084876948 "Portland cement" "Cement"
50 "CE" "Ceará" "Pecém" -3.666527 -39 "2018" "SOX" "EPA" 0.0792152244 0.0792152244 0.0792152244 "Portland cement" "Cement"
51 "CE" "Ceará" "Pecém" -3.666527 -39 "2019" "SOX" "EPA" 0.0791137044 0.0791137044 0.0791137044 "Portland cement" "Cement"
52 "CE" "Ceará" "Pecém" -3.666527 -39 "2020" "SOX" "EPA" 0.0855328356 0.0855328356 0.0855328356 "Portland cement" "Cement"
53 "CE" "Ceará" "Pecém" -3.666527 -39 "2021" "SOX" "EPA" 0.100453554 0.100453554 0.100453554 "Portland cement" "Cement"
54 "CE" "Ceará" "Pecém" -3.666527 -39 "2022" "SOX" "EPA" 0.0534041892 0.0534041892 0.0534041892 "Portland cement" "Cement"
55 "CE" "Ceará" "Quixeré" -5.042383 -38 "2014" "PST" "EPA" 0.0162786402615556 0.0162786402615556 0.0162786402615556 "Portland cement" "Cement"
56 "CE" "Ceará" "Quixeré" -5.042383 -38 "2015" "PST" "EPA" 0.0171158069532222 0.0171158069532222 0.0171158069532222 "Portland cement" "Cement"
57 "CE" "Ceará" "Quixeré" -5.042383 -38 "2016" "PST" "EPA" 0.0162667995264444 0.0162667995264444 0.0162667995264444 "Portland cement" "Cement"
58 "CE" "Ceará" "Quixeré" -5.042383 -38 "2017" "PST" "EPA" 0.0155162395988889 0.0155162395988889 0.0155162395988889 "Portland cement" "Cement"
59 "CE" "Ceará" "Quixeré" -5.042383 -38 "2018" "PST" "EPA" 0.0144812275963333 0.0144812275963333 0.0144812275963333 "Portland cement" "Cement"
60 "CE" "Ceará" "Quixeré" -5.042383 -38 "2019" "PST" "EPA" 0.014462668863 0.014462668863 0.014462668863 "Portland cement" "Cement"
61 "CE" "Ceará" "Quixeré" -5.042383 -38 "2020" "PST" "EPA" 0.0156361415203333 0.0156361415203333 0.0156361415203333 "Portland cement" "Cement"
62 "CE" "Ceará" "Quixeré" -5.042383 -38 "2021" "PST" "EPA" 0.0183637777883333 0.0183637777883333 0.0183637777883333 "Portland cement" "Cement"
63 "CE" "Ceará" "Quixeré" -5.042383 -38 "2022" "PST" "EPA" 0.00976274730344444 0.00976274730344444 0.00976274730344444 "Portland cement" "Cement"
64 "CE" "Ceará" "Quixeré" -5.042383 -38 "2014" "PM10" "EPA" 0.00461727429333333 0.00461727429333333 0.00461727429333333 "Portland cement" "Cement"
65 "CE" "Ceará" "Quixeré" -5.042383 -38 "2015" "PM10" "EPA" 0.00485472829333333 0.00485472829333333 0.00485472829333333 "Portland cement" "Cement"
66 "CE" "Ceará" "Quixeré" -5.042383 -38 "2016" "PM10" "EPA" 0.00461391578666667 0.00461391578666667 0.00461391578666667 "Portland cement" "Cement"
67 "CE" "Ceará" "Quixeré" -5.042383 -38 "2017" "PM10" "EPA" 0.00440102693333333 0.00440102693333333 0.00440102693333333 "Portland cement" "Cement"
