ID	Year	Latitude	Longitude	Production
162	2022	-20,261634	-40	373159
163	2014	-17,008898	-50	539117,6667
164	2014	-15,787776	-49	539117,6667
165	2014	-17,260086	-50	539117,6667
166	2015	-17,008898	-50	442294
167	2015	-15,787776	-49	442294
168	2015	-17,260086	-50	442294
169	2016	-17,008898	-50	356601,6667
170	2016	-15,787776	-49	356601,6667
171	2016	-17,260086	-50	356601,6667
172	2017	-17,008898	-50	495328,6667
173	2017	-15,787776	-49	495328,6667
174	2017	-17,260086	-50	495328,6667
175	2018	-17,008898	-50	571921,3333
176	2018	-15,787776	-49	571921,3333
177	2018	-17,260086	-50	571921,3333
178	2019	-17,008898	-50	639901,6667
179	2019	-15,787776	-49	639901,6667
180	2019	-17,260086	-50	639901,6667
181	2020	-17,008898	-50	673322
182	2020	-15,787776	-49	673322
183	2020	-17,260086	-50	673322
184	2021	-17,008898	-50	745606,6667
185	2021	-15,787776	-49	745606,6667
186	2021	-17,260086	-50	745606,6667
187	2022	-17,008898	-50	426453,6667
188	2022	-15,787776	-49	426453,6667
189	2022	-17,260086	-50	426453,6667
190	2014	-2,657102	-44	164839,3111
191	2014	-4,893095	-47	164839,3111
192	2014	-2,911047	-44	164839,3111
193	2014	-4,524981	-44	164839,3111
194	2014	-2,63764	-44	164839,3111
195	2015	-2,657102	-44	170859,6444
196	2015	-4,893095	-47	170859,6444
197	2015	-2,911047	-44	170859,6444
198	2015	-4,524981	-44	170859,6444
199	2015	-2,63764	-44	170859,6444
200	2016	-2,657102	-44	161040,0889
201	2016	-4,893095	-47	161040,0889
202	2016	-2,911047	-44	161040,0889
203	2016	-4,524981	-44	161040,0889
204	2016	-2,63764	-44	161040,0889
205	2017	-2,657102	-44	125197,5778
206	2017	-4,893095	-47	125197,5778
207	2017	-2,911047	-44	125197,5778
208	2017	-4,524981	-44	125197,5778
209	2017	-2,63764	-44	125197,5778
210	2018	-2,657102	-44	108480,0667
211	2018	-4,893095	-47	108480,0667
212	2018	-2,911047	-44	108480,0667
213	2018	-4,524981	-44	108480,0667
214	2018	-2,63764	-44	108480,0667
215	2019	-2,657102	-44	99624,2
216	2019	-4,893095	-47	99624,2
217	2019	-2,911047	-44	99624,2
218	2019	-4,524981	-44	99624,2
219	2019	-2,63764	-44	99624,2
220	2020	-2,657102	-44	98606,86667
221	2020	-4,893095	-47	98606,86667
222	2020	-2,911047	-44	98606,86667
223	2020	-4,524981	-44	98606,86667
224	2020	-2,63764	-44	98606,86667
225	2021	-2,657102	-44	98896,66667
226	2021	-4,893095	-47	98896,66667
227	2021	-2,911047	-44	98896,66667
228	2021	-4,524981	-44	98896,66667
229	2021	-2,63764	-44	98896,66667
230	2022	-2,657102	-44	51144,28889
231	2022	-4,893095	-47	51144,28889
232	2022	-2,911047	-44	51144,28889
233	2022	-4,524981	-44	51144,28889
234	2022	-2,63764	-44	51144,28889
235	2014	-15,332621	-56	858584
236	2014	-14,64112	-56	858584
237	2015	-15,332621	-56	679656
238	2015	-14,64112	-56	679656
239	2016	-15,332621	-56	520614
240	2016	-14,64112	-56	520614
241	2017	-15,332621	-56	517019
242	2017	-14,64112	-56	517019
243	2018	-15,332621	-56	587895,5
244	2018	-14,64112	-56	587895,5
245	2019	-15,332621	-56	564081,5
246	2019	-14,64112	-56	564081,5
247	2020	-15,332621	-56	637126,5
248	2020	-14,64112	-56	637126,5
249	2021	-15,332621	-56	701117
250	2021	-14,64112	-56	701117
251	2022	-15,332621	-56	422283
252	2022	-14,64112	-56	422283
253	2014	-20,475128	-57	439098,5
254	2014	-19,004609	-58	439098,5
255	2015	-20,475128	-57	425370,5
256	2015	-19,004609	-58	425370,5
257	2016	-20,475128	-57	367180,5
258	2016	-19,004609	-58	367180,5
259	2017	-20,475128	-57	318514
260	2017	-19,004609	-58	318514
261	2018	-20,475128	-57	308401
262	2018	-19,004609	-58	308401
263	2019	-20,475128	-57	350291,5
264	2019	-19,004609	-58	350291,5
265	2020	-20,475128	-57	416239,5
266	2020	-19,004609	-58	416239,5
267	2021	-20,475128	-57	453629,5
268	2021	-19,004609	-58	453629,5
