ID	Year	Latitude	Longitude	Production
151	2004	-3,72	-38,47	95115,53
152	2005	-3,72	-38,47	99600,3
153	2006	-3,72	-38,47	142549,53
154	2007	-3,72	-38,47	132880,69
155	2008	-3,72	-38,47	133299,16
156	2009	-3,72	-38,47	129833,74
157	2010	-3,72	-38,47	170584,06
158	2011	-3,72	-38,47	149859,99
159	2012	-3,72	-38,47	168968,27
160	2013	-3,72	-38,47	180620,68
161	2014	-3,72	-38,47	192052,57
162	2015	-3,72	-38,47	181974,51
163	2016	-3,72	-38,47	193299,1
164	2017	-3,72	-38,47	164172,7
165	2018	-3,72	-38,47	174135,69
166	2019	-3,72	-38,47	152508,82
167	2020	-3,72	-38,47	182089,21
168	2021	-3,72	-38,47	165926,87
169	2022	-3,72	-38,47	187291,41
170	2023	-3,72	-38,47	30962,71
171	1990	-3,72	-38,47	87806,88
172	1991	-3,72	-38,47	85307,4
173	1992	-3,72	-38,47	96301,8
174	1993	-3,72	-38,47	96507,36
175	1994	-3,72	-38,47	87715,8
176	1995	-3,72	-38,47	99314,28
177	1996	-3,72	-38,47	308130,48
178	1997	-3,72	-38,47	88767,72
179	1998	-3,72	-38,47	123270,12
180	1999	-3,72	-38,47	117195,12
181	2000	-3,72	-38,47	111335,04
182	2001	-3,72	-38,47	118190,16
183	2002	-3,72	-38,47	137750,4
184	2003	-3,72	-38,47	88859,52
185	2004	-3,72	-38,47	92544,84
186	2005	-3,72	-38,47	96908,4
187	2006	-3,72	-38,47	138696,84
188	2007	-3,72	-38,47	129289,32
189	2008	-3,72	-38,47	129696,48
190	2009	-3,72	-38,47	126324,72
191	2010	-3,72	-38,47	165973,68
192	2011	-3,72	-38,47	145809,72
193	2012	-3,72	-38,47	164401,56
194	2013	-3,72	-38,47	175739,04
195	2014	-3,72	-38,47	186861,96
196	2015	-3,72	-38,47	177056,28
197	2016	-3,72	-38,47	188074,8
198	2017	-3,72	-38,47	159735,6
199	2018	-3,72	-38,47	169429,32
200	2019	-3,72	-38,47	148386,96
201	2020	-3,72	-38,47	177167,88
202	2021	-3,72	-38,47	161442,36
203	2022	-3,72	-38,47	182229,48
204	2023	-3,72	-38,47	30125,88
205	1990	-3,72	-38,47	31708,04
206	1991	-3,72	-38,47	30805,45
207	1992	-3,72	-38,47	34775,65
208	1993	-3,72	-38,47	34849,88
209	1994	-3,72	-38,47	31675,15
210	1995	-3,72	-38,47	35863,49
211	1996	-3,72	-38,47	111269,34
212	1997	-3,72	-38,47	32055,01
213	1998	-3,72	-38,47	44514,21
214	1999	-3,72	-38,47	42320,46
215	2000	-3,72	-38,47	40204,32
216	2001	-3,72	-38,47	42679,78
217	2002	-3,72	-38,47	49743,2
218	2003	-3,72	-38,47	32088,16
219	2004	-3,72	-38,47	33418,97
220	2005	-3,72	-38,47	34994,7
221	2006	-3,72	-38,47	50084,97
222	2007	-3,72	-38,47	46687,81
223	2008	-3,72	-38,47	46834,84
224	2009	-3,72	-38,47	45617,26
225	2010	-3,72	-38,47	59934,94
226	2011	-3,72	-38,47	52653,51
227	2012	-3,72	-38,47	59367,23
228	2013	-3,72	-38,47	63461,32
229	2014	-3,72	-38,47	67477,93
230	2015	-3,72	-38,47	63936,99
231	2016	-3,72	-38,47	67915,9
232	2017	-3,72	-38,47	57682,3
233	2018	-3,72	-38,47	61182,81
234	2019	-3,72	-38,47	53584,18
235	2020	-3,72	-38,47	63977,29
236	2021	-3,72	-38,47	58298,63
237	2022	-3,72	-38,47	65805,09
238	2023	-3,72	-38,47	10878,79
239	1990	-3,72	-38,47	31708,04
240	1991	-3,72	-38,47	30805,45
241	1992	-3,72	-38,47	34775,65
242	1993	-3,72	-38,47	34849,88
243	1994	-3,72	-38,47	31675,15
244	1995	-3,72	-38,47	35863,49
245	1996	-3,72	-38,47	111269,34
246	1997	-3,72	-38,47	32055,01
247	1998	-3,72	-38,47	44514,21
248	1999	-3,72	-38,47	42320,46
249	2000	-3,72	-38,47	40204,32
250	2001	-3,72	-38,47	42679,78
251	2002	-3,72	-38,47	49743,2
252	2003	-3,72	-38,47	32088,16
253	2004	-3,72	-38,47	33418,97
254	2005	-3,72	-38,47	34994,7
255	2006	-3,72	-38,47	50084,97
256	2007	-3,72	-38,47	46687,81
257	2008	-3,72	-38,47	46834,84
258	2009	-3,72	-38,47	45617,26
259	2010	-3,72	-38,47	59934,94
260	2011	-3,72	-38,47	52653,51
261	2012	-3,72	-38,47	59367,23
262	2013	-3,72	-38,47	63461,32
263	2014	-3,72	-38,47	67477,93
264	2015	-3,72	-38,47	63936,99
265	2016	-3,72	-38,47	67915,9
266	2017	-3,72	-38,47	57682,3
267	2018	-3,72	-38,47	61182,81
268	2019	-3,72	-38,47	53584,18
269	2020	-3,72	-38,47	63977,29
270	2021	-3,72	-38,47	58298,63
271	2022	-3,72	-38,47	65805,09
272	2023	-3,72	-38,47	10878,79
273	1990	-22,89	-43,24	156067,24
274	1991	-22,89	-43,24	142534,56
275	1992	-22,89	-43,24	163288,72
276	1993	-22,89	-43,24	161108,36
277	1994	-22,89	-43,24	160699,28
278	1995	-22,89	-43,24	162676,92
279	1996	-22,89	-43,24	162721,72
280	1997	-22,89	-43,24	158964,4
281	1998	-22,89	-43,24	152660,48
282	1999	-22,89	-43,24	181648,04
283	2000	-22,89	-43,24	191166,08
284	2001	-22,89	-43,24	229205,76
285	2002	-22,89	-43,24	211533,84
286	2003	-22,89	-43,24	238161
287	2004	-22,89	-43,24	232437,52
288	2005	-22,89	-43,24	105490,84
289	2006	-22,89	-43,24	0
290	2007	-22,89	-43,24	0
291	2008	-22,89	-43,24	0
292	2009	-22,89	-43,24	0
293	2010	-22,89	-43,24	98971,6
294	2011	-22,89	-43,24	163951,2
295	2012	-22,89	-43,24	170087,68
296	2013	-22,89	-43,24	4493,44
297	2014	-22,89	-43,24	44010,4
298	2015	-22,89	-43,24	110172,72
299	2016	-22,89	-43,24	129088,96
300	2017	-22,89	-43,24	66416,56
301	2018	-22,89	-43,24	55562,08
302	2019	-22,89	-43,24	126511,84
303	2020	-22,89	-43,24	146679,12
304	2021	-22,89	-43,24	138442,36
305	2022	-22,89	-43,24	153787,2
306	2023	-22,89	-43,24	20908,16
307	1990	-22,89	-43,24	206231,71
308	1991	-22,89	-43,24	188349,24
309	1992	-22,89	-43,24	215774,38
310	1993	-22,89	-43,24	212893,19
311	1994	-22,89	-43,24	212352,62
312	1995	-22,89	-43,24	214965,93
313	1996	-22,89	-43,24	215025,13
314	1997	-22,89	-43,24	210060,1
315	1998	-22,89	-43,24	201729,92
316	1999	-22,89	-43,24	240034,91
317	2000	-22,89	-43,24	252612,32
318	2001	-22,89	-43,24	302879,04
319	2002	-22,89	-43,24	279526,86
320	2003	-22,89	-43,24	314712,75
321	2004	-22,89	-43,24	307149,58
322	2005	-22,89	-43,24	139398,61
323	2006	-22,89	-43,24	0
324	2007	-22,89	-43,24	0
325	2008	-22,89	-43,24	0
326	2009	-22,89	-43,24	0
327	2010	-22,89	-43,24	130783,9
328	2011	-22,89	-43,24	216649,8
329	2012	-22,89	-43,24	224758,72
330	2013	-22,89	-43,24	5937,76
331	2014	-22,89	-43,24	58156,6
332	2015	-22,89	-43,24	145585,38
333	2016	-22,89	-43,24	170581,84
334	2017	-22,89	-43,24	87764,74
335	2018	-22,89	-43,24	73421,32
336	2019	-22,89	-43,24	167176,36
337	2020	-22,89	-43,24	193825,98
338	2021	-22,89	-43,24	182941,69
339	2022	-22,89	-43,24	203218,8
340	2023	-22,89	-43,24	27628,64
341	1990	-22,89	-43,24	72459,79
342	1991	-22,89	-43,24	66176,76
343	1992	-22,89	-43,24	75812,62
344	1993	-22,89	-43,24	74800,31
345	1994	-22,89	-43,24	74610,38
346	1995	-22,89	-43,24	75528,57
347	1996	-22,89	-43,24	75549,37
348	1997	-22,89	-43,24	73804,9
349	1998	-22,89	-43,24	70878,08
350	1999	-22,89	-43,24	84336,59
351	2000	-22,89	-43,24	88755,68
352	2001	-22,89	-43,24	106416,96
