ID	Source	State	Number_of_factories_per_state	Municipality	year	Factory_Name	lat	long	fabricated_cement	Unit
200	Produção cimento	Maranhão	5	São Luís	2016	ENTO BRAVO, São Luís - MA	-2,657102	-44	161040,0889	t clínquer
201	Produção cimento	Maranhão	5	Açaiândia	2016	CIMENTO VERDE DO BRASIL, Açaiândia - MA	-4,893095	-47	161040,0889	t clínquer
202	Produção cimento	Maranhão	5	Bacabeira	2016	ICIBRA, Bacabeira - MA	-2,911047	-44	161040,0889	t clínquer
203	Produção cimento	Maranhão	5	Codó	2016	NASSAU (Grupo João Santos), Codó - MA	-4,524981	-44	161040,0889	t clínquer
204	Produção cimento	Maranhão	5	São Luis	2016	VOTORANTIM CIMENTOS, São Luis - MA	-2,63764	-44	161040,0889	t clínquer
205	Produção cimento	Maranhão	5	São Luís	2017	ENTO BRAVO, São Luís - MA	-2,657102	-44	125197,5778	t clínquer
206	Produção cimento	Maranhão	5	Açaiândia	2017	CIMENTO VERDE DO BRASIL, Açaiândia - MA	-4,893095	-47	125197,5778	t clínquer
207	Produção cimento	Maranhão	5	Bacabeira	2017	ICIBRA, Bacabeira - MA	-2,911047	-44	125197,5778	t clínquer
208	Produção cimento	Maranhão	5	Codó	2017	NASSAU (Grupo João Santos), Codó - MA	-4,524981	-44	125197,5778	t clínquer
209	Produção cimento	Maranhão	5	São Luis	2017	VOTORANTIM CIMENTOS, São Luis - MA	-2,63764	-44	125197,5778	t clínquer
210	Produção cimento	Maranhão	5	São Luís	2018	ENTO BRAVO, São Luís - MA	-2,657102	-44	108480,0667	t clínquer
211	Produção cimento	Maranhão	5	Açaiândia	2018	CIMENTO VERDE DO BRASIL, Açaiândia - MA	-4,893095	-47	108480,0667	t clínquer
212	Produção cimento	Maranhão	5	Bacabeira	2018	ICIBRA, Bacabeira - MA	-2,911047	-44	108480,0667	t clínquer
213	Produção cimento	Maranhão	5	Codó	2018	NASSAU (Grupo João Santos), Codó - MA	-4,524981	-44	108480,0667	t clínquer
214	Produção cimento	Maranhão	5	São Luis	2018	VOTORANTIM CIMENTOS, São Luis - MA	-2,63764	-44	108480,0667	t clínquer
215	Produção cimento	Maranhão	5	São Luís	2019	ENTO BRAVO, São Luís - MA	-2,657102	-44	99624,2	t clínquer
216	Produção cimento	Maranhão	5	Açaiândia	2019	CIMENTO VERDE DO BRASIL, Açaiândia - MA	-4,893095	-47	99624,2	t clínquer
217	Produção cimento	Maranhão	5	Bacabeira	2019	ICIBRA, Bacabeira - MA	-2,911047	-44	99624,2	t clínquer
218	Produção cimento	Maranhão	5	Codó	2019	NASSAU (Grupo João Santos), Codó - MA	-4,524981	-44	99624,2	t clínquer
219	Produção cimento	Maranhão	5	São Luis	2019	VOTORANTIM CIMENTOS, São Luis - MA	-2,63764	-44	99624,2	t clínquer
220	Produção cimento	Maranhão	5	São Luís	2020	ENTO BRAVO, São Luís - MA	-2,657102	-44	98606,86667	t clínquer
221	Produção cimento	Maranhão	5	Açaiândia	2020	CIMENTO VERDE DO BRASIL, Açaiândia - MA	-4,893095	-47	98606,86667	t clínquer
222	Produção cimento	Maranhão	5	Bacabeira	2020	ICIBRA, Bacabeira - MA	-2,911047	-44	98606,86667	t clínquer
223	Produção cimento	Maranhão	5	Codó	2020	NASSAU (Grupo João Santos), Codó - MA	-4,524981	-44	98606,86667	t clínquer
224	Produção cimento	Maranhão	5	São Luis	2020	VOTORANTIM CIMENTOS, São Luis - MA	-2,63764	-44	98606,86667	t clínquer
225	Produção cimento	Maranhão	5	São Luís	2021	ENTO BRAVO, São Luís - MA	-2,657102	-44	98896,66667	t clínquer
226	Produção cimento	Maranhão	5	Açaiândia	2021	CIMENTO VERDE DO BRASIL, Açaiândia - MA	-4,893095	-47	98896,66667	t clínquer
227	Produção cimento	Maranhão	5	Bacabeira	2021	ICIBRA, Bacabeira - MA	-2,911047	-44	98896,66667	t clínquer
228	Produção cimento	Maranhão	5	Codó	2021	NASSAU (Grupo João Santos), Codó - MA	-4,524981	-44	98896,66667	t clínquer
229	Produção cimento	Maranhão	5	São Luis	2021	VOTORANTIM CIMENTOS, São Luis - MA	-2,63764	-44	98896,66667	t clínquer
230	Produção cimento	Maranhão	5	São Luís	2022	ENTO BRAVO, São Luís - MA	-2,657102	-44	51144,28889	t clínquer
231	Produção cimento	Maranhão	5	Açaiândia	2022	CIMENTO VERDE DO BRASIL, Açaiândia - MA	-4,893095	-47	51144,28889	t clínquer
232	Produção cimento	Maranhão	5	Bacabeira	2022	ICIBRA, Bacabeira - MA	-2,911047	-44	51144,28889	t clínquer
233	Produção cimento	Maranhão	5	Codó	2022	NASSAU (Grupo João Santos), Codó - MA	-4,524981	-44	51144,28889	t clínquer
234	Produção cimento	Maranhão	5	São Luis	2022	VOTORANTIM CIMENTOS, São Luis - MA	-2,63764	-44	51144,28889	t clínquer
235	Produção cimento	Mato Grosso	2	Cuiabá	2014	VOTORANTIM CIMENTOS, Cuiabá - MT	-15,332621	-56	858584	t clínquer
236	Produção cimento	Mato Grosso	2	Nobres	2014	VOTORANTIM CIMENTOS, Nobres - MT	-14,64112	-56	858584	t clínquer
237	Produção cimento	Mato Grosso	2	Cuiabá	2015	VOTORANTIM CIMENTOS, Cuiabá - MT	-15,332621	-56	679656	t clínquer
238	Produção cimento	Mato Grosso	2	Nobres	2015	VOTORANTIM CIMENTOS, Nobres - MT	-14,64112	-56	679656	t clínquer
239	Produção cimento	Mato Grosso	2	Cuiabá	2016	VOTORANTIM CIMENTOS, Cuiabá - MT	-15,332621	-56	520614	t clínquer
240	Produção cimento	Mato Grosso	2	Nobres	2016	VOTORANTIM CIMENTOS, Nobres - MT	-14,64112	-56	520614	t clínquer
241	Produção cimento	Mato Grosso	2	Cuiabá	2017	VOTORANTIM CIMENTOS, Cuiabá - MT	-15,332621	-56	517019	t clínquer
242	Produção cimento	Mato Grosso	2	Nobres	2017	VOTORANTIM CIMENTOS, Nobres - MT	-14,64112	-56	517019	t clínquer
243	Produção cimento	Mato Grosso	2	Cuiabá	2018	VOTORANTIM CIMENTOS, Cuiabá - MT	-15,332621	-56	587895,5	t clínquer
244	Produção cimento	Mato Grosso	2	Nobres	2018	VOTORANTIM CIMENTOS, Nobres - MT	-14,64112	-56	587895,5	t clínquer
245	Produção cimento	Mato Grosso	2	Cuiabá	2019	VOTORANTIM CIMENTOS, Cuiabá - MT	-15,332621	-56	564081,5	t clínquer
246	Produção cimento	Mato Grosso	2	Nobres	2019	VOTORANTIM CIMENTOS, Nobres - MT	-14,64112	-56	564081,5	t clínquer
247	Produção cimento	Mato Grosso	2	Cuiabá	2020	VOTORANTIM CIMENTOS, Cuiabá - MT	-15,332621	-56	637126,5	t clínquer
248	Produção cimento	Mato Grosso	2	Nobres	2020	VOTORANTIM CIMENTOS, Nobres - MT	-14,64112	-56	637126,5	t clínquer
249	Produção cimento	Mato Grosso	2	Cuiabá	2021	VOTORANTIM CIMENTOS, Cuiabá - MT	-15,332621	-56	701117	t clínquer
250	Produção cimento	Mato Grosso	2	Nobres	2021	VOTORANTIM CIMENTOS, Nobres - MT	-14,64112	-56	701117	t clínquer
251	Produção cimento	Mato Grosso	2	Cuiabá	2022	VOTORANTIM CIMENTOS, Cuiabá - MT	-15,332621	-56	422283	t clínquer
252	Produção cimento	Mato Grosso	2	Nobres	2022	VOTORANTIM CIMENTOS, Nobres - MT	-14,64112	-56	422283	t clínquer
253	Produção cimento	Mato Grosso do Sul	2	Bodoquena	2014	INTERCEMENT, Bodoquena - MS	-20,475128	-57	439098,5	t clínquer
254	Produção cimento	Mato Grosso do Sul	2	Corumbá	2014	VOTORANTIM CIMENTOS, Corumbá - MS	-19,004609	-58	439098,5	t clínquer
255	Produção cimento	Mato Grosso do Sul	2	Bodoquena	2015	INTERCEMENT, Bodoquena - MS	-20,475128	-57	425370,5	t clínquer
256	Produção cimento	Mato Grosso do Sul	2	Corumbá	2015	VOTORANTIM CIMENTOS, Corumbá - MS	-19,004609	-58	425370,5	t clínquer
257	Produção cimento	Mato Grosso do Sul	2	Bodoquena	2016	INTERCEMENT, Bodoquena - MS	-20,475128	-57	367180,5	t clínquer
258	Produção cimento	Mato Grosso do Sul	2	Corumbá	2016	VOTORANTIM CIMENTOS, Corumbá - MS	-19,004609	-58	367180,5	t clínquer
259	Produção cimento	Mato Grosso do Sul	2	Bodoquena	2017	INTERCEMENT, Bodoquena - MS	-20,475128	-57	318514	t clínquer
260	Produção cimento	Mato Grosso do Sul	2	Corumbá	2017	VOTORANTIM CIMENTOS, Corumbá - MS	-19,004609	-58	318514	t clínquer
261	Produção cimento	Mato Grosso do Sul	2	Bodoquena	2018	INTERCEMENT, Bodoquena - MS	-20,475128	-57	308401	t clínquer
262	Produção cimento	Mato Grosso do Sul	2	Corumbá	2018	VOTORANTIM CIMENTOS, Corumbá - MS	-19,004609	-58	308401	t clínquer
263	Produção cimento	Mato Grosso do Sul	2	Bodoquena	2019	INTERCEMENT, Bodoquena - MS	-20,475128	-57	350291,5	t clínquer
264	Produção cimento	Mato Grosso do Sul	2	Corumbá	2019	VOTORANTIM CIMENTOS, Corumbá - MS	-19,004609	-58	350291,5	t clínquer
265	Produção cimento	Mato Grosso do Sul	2	Bodoquena	2020	INTERCEMENT, Bodoquena - MS	-20,475128	-57	416239,5	t clínquer
266	Produção cimento	Mato Grosso do Sul	2	Corumbá	2020	VOTORANTIM CIMENTOS, Corumbá - MS	-19,004609	-58	416239,5	t clínquer
267	Produção cimento	Mato Grosso do Sul	2	Bodoquena	2021	INTERCEMENT, Bodoquena - MS	-20,475128	-57	453629,5	t clínquer
268	Produção cimento	Mato Grosso do Sul	2	Corumbá	2021	VOTORANTIM CIMENTOS, Corumbá - MS	-19,004609	-58	453629,5	t clínquer
269	Produção cimento	Mato Grosso do Sul	2	Bodoquena	2022	INTERCEMENT, Bodoquena - MS	-20,475128	-57	270315	t clínquer
270	Produção cimento	Mato Grosso do Sul	2	Corumbá	2022	VOTORANTIM CIMENTOS, Corumbá - MS	-19,004609	-58	270315	t clínquer
271	Produção cimento	Minas Gerais	16	Sete Lagoas	2014	RENNAND, Sete Lagoas - MG	-19,495304	-44	1060976,938	t clínquer
272	Produção cimento	Minas Gerais	16	Pains	2014	CARMOCAL, Pains - MG	-20,387358	-46	1060976,938	t clínquer
273	Produção cimento	Minas Gerais	16	Vespasiano	2014	CIMENTOS LIZ, Vespasiano - MG	-19,685616	-44	1060976,938	t clínquer
274	Produção cimento	Minas Gerais	16	Matozinhos	2014	CRH, Matozinhos - MG	-19,540672	-44	1060976,938	t clínquer
275	Produção cimento	Minas Gerais	16	Arcos	2014	CRH, Arcos - MG	-20,31549	-46	1060976,938	t clínquer
276	Produção cimento	Minas Gerais	16	Santa Luzia	2014	CRH, Santa Luzia - MG	-19,810599	-44	1060976,938	t clínquer
277	Produção cimento	Minas Gerais	16	Arcos	2014	CSN, Arcos - MG	-20,315384	-46	1060976,938	t clínquer
278	Produção cimento	Minas Gerais	16	Ijaci	2014	INTERCEMENT, Ijaci - MG	-21,193017	-45	1060976,938	t clínquer
279	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2014	INTERCEMENT, Pedro Leopoldo - MG	-19,627601	-44	1060976,938	t clínquer
280	Produção cimento	Minas Gerais	16	Santana do Paraíso	2014	INTERCEMENT, Santana do Paraíso - MG	-19,476597	-42	1060976,938	t clínquer
281	Produção cimento	Minas Gerais	16	Barroso	2014	LAFARGEHOLCIM, Barroso - MG	-21,182722	-44	1060976,938	t clínquer
282	Produção cimento	Minas Gerais	16	Montes Claros	2014	LAFARGEHOLCIM, Montes Claros - MG	-16,680796	-44	1060976,938	t clínquer
283	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2014	LAFARGEHOLCIM, Pedro Leopoldo - MG	-19,608196	-44	1060976,938	t clínquer
284	Produção cimento	Minas Gerais	16	Santa Luzia	2014	LAFARGEHOLCIM, Santa Luzia - MG	-19,810343	-44	1060976,938	t clínquer
285	Produção cimento	Minas Gerais	16	Carandaí	2014	TUPI, Carandaí - MG	-20,899453	-44	1060976,938	t clínquer
286	Produção cimento	Minas Gerais	16	Itaú de Minas	2014	VOTORANTIM CIMENTOS, Itaú de Minas - MG	-20,761326	-47	1060976,938	t clínquer
287	Produção cimento	Minas Gerais	16	Sete Lagoas	2015	RENNAND, Sete Lagoas - MG	-19,495304	-44	937520,625	t clínquer
288	Produção cimento	Minas Gerais	16	Pains	2015	CARMOCAL, Pains - MG	-20,387358	-46	937520,625	t clínquer
289	Produção cimento	Minas Gerais	16	Vespasiano	2015	CIMENTOS LIZ, Vespasiano - MG	-19,685616	-44	937520,625	t clínquer
290	Produção cimento	Minas Gerais	16	Matozinhos	2015	CRH, Matozinhos - MG	-19,540672	-44	937520,625	t clínquer
291	Produção cimento	Minas Gerais	16	Arcos	2015	CRH, Arcos - MG	-20,31549	-46	937520,625	t clínquer
292	Produção cimento	Minas Gerais	16	Santa Luzia	2015	CRH, Santa Luzia - MG	-19,810599	-44	937520,625	t clínquer
293	Produção cimento	Minas Gerais	16	Arcos	2015	CSN, Arcos - MG	-20,315384	-46	937520,625	t clínquer
294	Produção cimento	Minas Gerais	16	Ijaci	2015	INTERCEMENT, Ijaci - MG	-21,193017	-45	937520,625	t clínquer
295	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2015	INTERCEMENT, Pedro Leopoldo - MG	-19,627601	-44	937520,625	t clínquer
296	Produção cimento	Minas Gerais	16	Santana do Paraíso	2015	INTERCEMENT, Santana do Paraíso - MG	-19,476597	-42	937520,625	t clínquer
297	Produção cimento	Minas Gerais	16	Barroso	2015	LAFARGEHOLCIM, Barroso - MG	-21,182722	-44	937520,625	t clínquer
298	Produção cimento	Minas Gerais	16	Montes Claros	2015	LAFARGEHOLCIM, Montes Claros - MG	-16,680796	-44	937520,625	t clínquer
299	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2015	LAFARGEHOLCIM, Pedro Leopoldo - MG	-19,608196	-44	937520,625	t clínquer
300	Produção cimento	Minas Gerais	16	Santa Luzia	2015	LAFARGEHOLCIM, Santa Luzia - MG	-19,810343	-44	937520,625	t clínquer
301	Produção cimento	Minas Gerais	16	Carandaí	2015	TUPI, Carandaí - MG	-20,899453	-44	937520,625	t clínquer
302	Produção cimento	Minas Gerais	16	Itaú de Minas	2015	VOTORANTIM CIMENTOS, Itaú de Minas - MG	-20,761326	-47	937520,625	t clínquer
303	Produção cimento	Minas Gerais	16	Sete Lagoas	2016	RENNAND, Sete Lagoas - MG	-19,495304	-44	826616,5625	t clínquer
304	Produção cimento	Minas Gerais	16	Pains	2016	CARMOCAL, Pains - MG	-20,387358	-46	826616,5625	t clínquer
305	Produção cimento	Minas Gerais	16	Vespasiano	2016	CIMENTOS LIZ, Vespasiano - MG	-19,685616	-44	826616,5625	t clínquer
306	Produção cimento	Minas Gerais	16	Matozinhos	2016	CRH, Matozinhos - MG	-19,540672	-44	826616,5625	t clínquer
307	Produção cimento	Minas Gerais	16	Arcos	2016	CRH, Arcos - MG	-20,31549	-46	826616,5625	t clínquer
308	Produção cimento	Minas Gerais	16	Santa Luzia	2016	CRH, Santa Luzia - MG	-19,810599	-44	826616,5625	t clínquer
309	Produção cimento	Minas Gerais	16	Arcos	2016	CSN, Arcos - MG	-20,315384	-46	826616,5625	t clínquer
310	Produção cimento	Minas Gerais	16	Ijaci	2016	INTERCEMENT, Ijaci - MG	-21,193017	-45	826616,5625	t clínquer
311	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2016	INTERCEMENT, Pedro Leopoldo - MG	-19,627601	-44	826616,5625	t clínquer
312	Produção cimento	Minas Gerais	16	Santana do Paraíso	2016	INTERCEMENT, Santana do Paraíso - MG	-19,476597	-42	826616,5625	t clínquer
313	Produção cimento	Minas Gerais	16	Barroso	2016	LAFARGEHOLCIM, Barroso - MG	-21,182722	-44	826616,5625	t clínquer
314	Produção cimento	Minas Gerais	16	Montes Claros	2016	LAFARGEHOLCIM, Montes Claros - MG	-16,680796	-44	826616,5625	t clínquer
315	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2016	LAFARGEHOLCIM, Pedro Leopoldo - MG	-19,608196	-44	826616,5625	t clínquer
316	Produção cimento	Minas Gerais	16	Santa Luzia	2016	LAFARGEHOLCIM, Santa Luzia - MG	-19,810343	-44	826616,5625	t clínquer
317	Produção cimento	Minas Gerais	16	Carandaí	2016	TUPI, Carandaí - MG	-20,899453	-44	826616,5625	t clínquer
318	Produção cimento	Minas Gerais	16	Itaú de Minas	2016	VOTORANTIM CIMENTOS, Itaú de Minas - MG	-20,761326	-47	826616,5625	t clínquer
319	Produção cimento	Minas Gerais	16	Sete Lagoas	2017	RENNAND, Sete Lagoas - MG	-19,495304	-44	804678,125	t clínquer
320	Produção cimento	Minas Gerais	16	Pains	2017	CARMOCAL, Pains - MG	-20,387358	-46	804678,125	t clínquer
321	Produção cimento	Minas Gerais	16	Vespasiano	2017	CIMENTOS LIZ, Vespasiano - MG	-19,685616	-44	804678,125	t clínquer
322	Produção cimento	Minas Gerais	16	Matozinhos	2017	CRH, Matozinhos - MG	-19,540672	-44	804678,125	t clínquer
323	Produção cimento	Minas Gerais	16	Arcos	2017	CRH, Arcos - MG	-20,31549	-46	804678,125	t clínquer
324	Produção cimento	Minas Gerais	16	Santa Luzia	2017	CRH, Santa Luzia - MG	-19,810599	-44	804678,125	t clínquer
325	Produção cimento	Minas Gerais	16	Arcos	2017	CSN, Arcos - MG	-20,315384	-46	804678,125	t clínquer
326	Produção cimento	Minas Gerais	16	Ijaci	2017	INTERCEMENT, Ijaci - MG	-21,193017	-45	804678,125	t clínquer
327	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2017	INTERCEMENT, Pedro Leopoldo - MG	-19,627601	-44	804678,125	t clínquer
328	Produção cimento	Minas Gerais	16	Santana do Paraíso	2017	INTERCEMENT, Santana do Paraíso - MG	-19,476597	-42	804678,125	t clínquer
329	Produção cimento	Minas Gerais	16	Barroso	2017	LAFARGEHOLCIM, Barroso - MG	-21,182722	-44	804678,125	t clínquer
330	Produção cimento	Minas Gerais	16	Montes Claros	2017	LAFARGEHOLCIM, Montes Claros - MG	-16,680796	-44	804678,125	t clínquer
331	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2017	LAFARGEHOLCIM, Pedro Leopoldo - MG	-19,608196	-44	804678,125	t clínquer
332	Produção cimento	Minas Gerais	16	Santa Luzia	2017	LAFARGEHOLCIM, Santa Luzia - MG	-19,810343	-44	804678,125	t clínquer
333	Produção cimento	Minas Gerais	16	Carandaí	2017	TUPI, Carandaí - MG	-20,899453	-44	804678,125	t clínquer
334	Produção cimento	Minas Gerais	16	Itaú de Minas	2017	VOTORANTIM CIMENTOS, Itaú de Minas - MG	-20,761326	-47	804678,125	t clínquer
335	Produção cimento	Minas Gerais	16	Sete Lagoas	2018	RENNAND, Sete Lagoas - MG	-19,495304	-44	862279,125	t clínquer
336	Produção cimento	Minas Gerais	16	Pains	2018	CARMOCAL, Pains - MG	-20,387358	-46	862279,125	t clínquer
337	Produção cimento	Minas Gerais	16	Vespasiano	2018	CIMENTOS LIZ, Vespasiano - MG	-19,685616	-44	862279,125	t clínquer
338	Produção cimento	Minas Gerais	16	Matozinhos	2018	CRH, Matozinhos - MG	-19,540672	-44	862279,125	t clínquer
339	Produção cimento	Minas Gerais	16	Arcos	2018	CRH, Arcos - MG	-20,31549	-46	862279,125	t clínquer
340	Produção cimento	Minas Gerais	16	Santa Luzia	2018	CRH, Santa Luzia - MG	-19,810599	-44	862279,125	t clínquer
341	Produção cimento	Minas Gerais	16	Arcos	2018	CSN, Arcos - MG	-20,315384	-46	862279,125	t clínquer
342	Produção cimento	Minas Gerais	16	Ijaci	2018	INTERCEMENT, Ijaci - MG	-21,193017	-45	862279,125	t clínquer
343	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2018	INTERCEMENT, Pedro Leopoldo - MG	-19,627601	-44	862279,125	t clínquer
344	Produção cimento	Minas Gerais	16	Santana do Paraíso	2018	INTERCEMENT, Santana do Paraíso - MG	-19,476597	-42	862279,125	t clínquer
345	Produção cimento	Minas Gerais	16	Barroso	2018	LAFARGEHOLCIM, Barroso - MG	-21,182722	-44	862279,125	t clínquer
346	Produção cimento	Minas Gerais	16	Montes Claros	2018	LAFARGEHOLCIM, Montes Claros - MG	-16,680796	-44	862279,125	t clínquer
347	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2018	LAFARGEHOLCIM, Pedro Leopoldo - MG	-19,608196	-44	862279,125	t clínquer
348	Produção cimento	Minas Gerais	16	Santa Luzia	2018	LAFARGEHOLCIM, Santa Luzia - MG	-19,810343	-44	862279,125	t clínquer
349	Produção cimento	Minas Gerais	16	Carandaí	2018	TUPI, Carandaí - MG	-20,899453	-44	862279,125	t clínquer
350	Produção cimento	Minas Gerais	16	Itaú de Minas	2018	VOTORANTIM CIMENTOS, Itaú de Minas - MG	-20,761326	-47	862279,125	t clínquer
351	Produção cimento	Minas Gerais	16	Sete Lagoas	2019	RENNAND, Sete Lagoas - MG	-19,495304	-44	995014,625	t clínquer
352	Produção cimento	Minas Gerais	16	Pains	2019	CARMOCAL, Pains - MG	-20,387358	-46	995014,625	t clínquer
353	Produção cimento	Minas Gerais	16	Vespasiano	2019	CIMENTOS LIZ, Vespasiano - MG	-19,685616	-44	995014,625	t clínquer
354	Produção cimento	Minas Gerais	16	Matozinhos	2019	CRH, Matozinhos - MG	-19,540672	-44	995014,625	t clínquer
355	Produção cimento	Minas Gerais	16	Arcos	2019	CRH, Arcos - MG	-20,31549	-46	995014,625	t clínquer
356	Produção cimento	Minas Gerais	16	Santa Luzia	2019	CRH, Santa Luzia - MG	-19,810599	-44	995014,625	t clínquer
357	Produção cimento	Minas Gerais	16	Arcos	2019	CSN, Arcos - MG	-20,315384	-46	995014,625	t clínquer
358	Produção cimento	Minas Gerais	16	Ijaci	2019	INTERCEMENT, Ijaci - MG	-21,193017	-45	995014,625	t clínquer
359	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2019	INTERCEMENT, Pedro Leopoldo - MG	-19,627601	-44	995014,625	t clínquer
360	Produção cimento	Minas Gerais	16	Santana do Paraíso	2019	INTERCEMENT, Santana do Paraíso - MG	-19,476597	-42	995014,625	t clínquer
361	Produção cimento	Minas Gerais	16	Barroso	2019	LAFARGEHOLCIM, Barroso - MG	-21,182722	-44	995014,625	t clínquer
362	Produção cimento	Minas Gerais	16	Montes Claros	2019	LAFARGEHOLCIM, Montes Claros - MG	-16,680796	-44	995014,625	t clínquer
363	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2019	LAFARGEHOLCIM, Pedro Leopoldo - MG	-19,608196	-44	995014,625	t clínquer
364	Produção cimento	Minas Gerais	16	Santa Luzia	2019	LAFARGEHOLCIM, Santa Luzia - MG	-19,810343	-44	995014,625	t clínquer
365	Produção cimento	Minas Gerais	16	Carandaí	2019	TUPI, Carandaí - MG	-20,899453	-44	995014,625	t clínquer
366	Produção cimento	Minas Gerais	16	Itaú de Minas	2019	VOTORANTIM CIMENTOS, Itaú de Minas - MG	-20,761326	-47	995014,625	t clínquer
367	Produção cimento	Minas Gerais	16	Sete Lagoas	2020	RENNAND, Sete Lagoas - MG	-19,495304	-44	996771,5	t clínquer
368	Produção cimento	Minas Gerais	16	Pains	2020	CARMOCAL, Pains - MG	-20,387358	-46	996771,5	t clínquer
369	Produção cimento	Minas Gerais	16	Vespasiano	2020	CIMENTOS LIZ, Vespasiano - MG	-19,685616	-44	996771,5	t clínquer
370	Produção cimento	Minas Gerais	16	Matozinhos	2020	CRH, Matozinhos - MG	-19,540672	-44	996771,5	t clínquer
371	Produção cimento	Minas Gerais	16	Arcos	2020	CRH, Arcos - MG	-20,31549	-46	996771,5	t clínquer
372	Produção cimento	Minas Gerais	16	Santa Luzia	2020	CRH, Santa Luzia - MG	-19,810599	-44	996771,5	t clínquer
373	Produção cimento	Minas Gerais	16	Arcos	2020	CSN, Arcos - MG	-20,315384	-46	996771,5	t clínquer
374	Produção cimento	Minas Gerais	16	Ijaci	2020	INTERCEMENT, Ijaci - MG	-21,193017	-45	996771,5	t clínquer
375	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2020	INTERCEMENT, Pedro Leopoldo - MG	-19,627601	-44	996771,5	t clínquer
376	Produção cimento	Minas Gerais	16	Santana do Paraíso	2020	INTERCEMENT, Santana do Paraíso - MG	-19,476597	-42	996771,5	t clínquer
377	Produção cimento	Minas Gerais	16	Barroso	2020	LAFARGEHOLCIM, Barroso - MG	-21,182722	-44	996771,5	t clínquer
378	Produção cimento	Minas Gerais	16	Montes Claros	2020	LAFARGEHOLCIM, Montes Claros - MG	-16,680796	-44	996771,5	t clínquer
379	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2020	LAFARGEHOLCIM, Pedro Leopoldo - MG	-19,608196	-44	996771,5	t clínquer
380	Produção cimento	Minas Gerais	16	Santa Luzia	2020	LAFARGEHOLCIM, Santa Luzia - MG	-19,810343	-44	996771,5	t clínquer
381	Produção cimento	Minas Gerais	16	Carandaí	2020	TUPI, Carandaí - MG	-20,899453	-44	996771,5	t clínquer
382	Produção cimento	Minas Gerais	16	Itaú de Minas	2020	VOTORANTIM CIMENTOS, Itaú de Minas - MG	-20,761326	-47	996771,5	t clínquer
383	Produção cimento	Minas Gerais	16	Sete Lagoas	2021	RENNAND, Sete Lagoas - MG	-19,495304	-44	1044172,375	t clínquer
384	Produção cimento	Minas Gerais	16	Pains	2021	CARMOCAL, Pains - MG	-20,387358	-46	1044172,375	t clínquer
385	Produção cimento	Minas Gerais	16	Vespasiano	2021	CIMENTOS LIZ, Vespasiano - MG	-19,685616	-44	1044172,375	t clínquer
386	Produção cimento	Minas Gerais	16	Matozinhos	2021	CRH, Matozinhos - MG	-19,540672	-44	1044172,375	t clínquer
387	Produção cimento	Minas Gerais	16	Arcos	2021	CRH, Arcos - MG	-20,31549	-46	1044172,375	t clínquer
388	Produção cimento	Minas Gerais	16	Santa Luzia	2021	CRH, Santa Luzia - MG	-19,810599	-44	1044172,375	t clínquer
389	Produção cimento	Minas Gerais	16	Arcos	2021	CSN, Arcos - MG	-20,315384	-46	1044172,375	t clínquer
390	Produção cimento	Minas Gerais	16	Ijaci	2021	INTERCEMENT, Ijaci - MG	-21,193017	-45	1044172,375	t clínquer
391	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2021	INTERCEMENT, Pedro Leopoldo - MG	-19,627601	-44	1044172,375	t clínquer
392	Produção cimento	Minas Gerais	16	Santana do Paraíso	2021	INTERCEMENT, Santana do Paraíso - MG	-19,476597	-42	1044172,375	t clínquer
393	Produção cimento	Minas Gerais	16	Barroso	2021	LAFARGEHOLCIM, Barroso - MG	-21,182722	-44	1044172,375	t clínquer
394	Produção cimento	Minas Gerais	16	Montes Claros	2021	LAFARGEHOLCIM, Montes Claros - MG	-16,680796	-44	1044172,375	t clínquer
395	Produção cimento	Minas Gerais	16	Pedro Leopoldo	2021	LAFARGEHOLCIM, Pedro Leopoldo - MG	-19,608196	-44	1044172,375	t clínquer
396	Produção cimento	Minas Gerais	16	Santa Luzia	2021	LAFARGEHOLCIM, Santa Luzia - MG	-19,810343	-44	1044172,375	t clínquer
397	Produção cimento	Minas Gerais	16	Carandaí	2021	TUPI, Carandaí - MG	-20,899453	-44	1044172,375	t clínquer
398	Produção cimento	Minas Gerais	16	Itaú de Minas	2021	VOTORANTIM CIMENTOS, Itaú de Minas - MG	-20,761326	-47	1044172,375	t clínquer
399	Produção cimento	Minas Gerais	16	Sete Lagoas	2022	RENNAND, Sete Lagoas - MG	-19,495304	-44	577745,9375	t clínquer
