ID	Source	State	Number_of_factories_per_state	Municipality	year	Factory_Name	lat	long	fabricated_cement	Unit
47	Produção cimento	Bahia	4	Ituaçu	2016	NASSAU (João Santos), Ituaçu - BA	-13,811128	-41	325882,6111	t clínquer
48	Produção cimento	Bahia	4	Candeias	2016	LAFARGEHOLCIM, Candeias - BA	-12,718323	-38	325882,6111	t clínquer
49	Produção cimento	Bahia	4	Brumado	2017	INTERCEMENT, Brumado - BA	-14,199543	-42	311090,2222	t clínquer
50	Produção cimento	Bahia	4	Campo Formoso	2017	INTERCEMENT, Campo Formoso - BA	-10,518571	-40	311090,2222	t clínquer
51	Produção cimento	Bahia	4	Ituaçu	2017	NASSAU (João Santos), Ituaçu - BA	-13,811128	-41	311090,2222	t clínquer
52	Produção cimento	Bahia	4	Candeias	2017	LAFARGEHOLCIM, Candeias - BA	-12,718323	-38	311090,2222	t clínquer
53	Produção cimento	Bahia	4	Brumado	2018	INTERCEMENT, Brumado - BA	-14,199543	-42	316128,5833	t clínquer
54	Produção cimento	Bahia	4	Campo Formoso	2018	INTERCEMENT, Campo Formoso - BA	-10,518571	-40	316128,5833	t clínquer
55	Produção cimento	Bahia	4	Ituaçu	2018	NASSAU (João Santos), Ituaçu - BA	-13,811128	-41	316128,5833	t clínquer
56	Produção cimento	Bahia	4	Candeias	2018	LAFARGEHOLCIM, Candeias - BA	-12,718323	-38	316128,5833	t clínquer
57	Produção cimento	Bahia	4	Brumado	2019	INTERCEMENT, Brumado - BA	-14,199543	-42	344023,5	t clínquer
58	Produção cimento	Bahia	4	Campo Formoso	2019	INTERCEMENT, Campo Formoso - BA	-10,518571	-40	344023,5	t clínquer
59	Produção cimento	Bahia	4	Ituaçu	2019	NASSAU (João Santos), Ituaçu - BA	-13,811128	-41	344023,5	t clínquer
60	Produção cimento	Bahia	4	Candeias	2019	LAFARGEHOLCIM, Candeias - BA	-12,718323	-38	344023,5	t clínquer
61	Produção cimento	Bahia	4	Brumado	2020	INTERCEMENT, Brumado - BA	-14,199543	-42	339137,0833	t clínquer
